[19:45:26] [INFO] received Windows console close event; shutting log-core down
[19:50:55] [INFO] received Windows console close event; shutting log-core down
[19:52:28] [INFO] received Windows console close event; shutting log-core down
[20:00:19] [INFO] received Windows console close event; shutting log-core down
[20:26:38] [INFO] received Windows console close event; shutting log-core down
[20:27:15] [INFO] received Windows console close event; shutting log-core down
[20:37:01] [INFO] received Windows console close event; shutting log-core down
[20:52:13] [INFO] received Windows console close event; shutting log-core down
[22:33:59] [INFO] received Windows console close event; shutting log-core down
[03:49:42] [INFO] received Windows console close event; shutting log-core down
[12:54:12] [INFO] received Windows console close event; shutting log-core down
[12:57:30] [INFO] received Windows console close event; shutting log-core down
[12:59:24] [INFO] received Windows console close event; shutting log-core down
[13:06:56] [INFO] received Windows console close event; shutting log-core down
[15:52:27] [INFO] received Windows console close event; shutting log-core down
[16:10:22] [INFO] received Windows console close event; shutting log-core down
[16:10:50] [INFO] received Windows console close event; shutting log-core down
[16:11:18] [INFO] received Windows console close event; shutting log-core down
[16:11:21] [INFO] received Windows console close event; shutting log-core down
[16:20:36] [INFO] received Windows console close event; shutting log-core down
